ID,Статистическое время,Средняя скорость ветра(m/s),Нормализованная активная мощность,Средняя температура окружающей среды(°C)
1,2023-03-11 0:00:00,6.62,0.37,15.52
2,2023-03-11 0:10:00,6.7,0.39,15.38
3,2023-03-11 0:20:00,7.14,0.44,15.43
4,2023-03-11 0:30:00,7.82,0.5,15.41
5,2023-03-11 0:40:00,7.62,0.49,15.42
6,2023-03-11 0:50:00,6.26,0.33,14.96
7,2023-03-11 1:00:00,5.91,0.28,14.38
8,2023-03-11 1:10:00,6.05,0.3,14.28
9,2023-03-11 1:20:00,6.15,0.28,14.63
10,2023-03-11 1:30:00,5.89,0.26,14.06
11,2023-03-11 1:40:00,6.63,0.37,14.21
12,2023-03-11 1:50:00,6.54,0.36,13.87
13,2023-03-11 2:00:00,6.62,0.36,14.17
14,2023-03-11 2:10:00,6.52,0.39,14.04
15,2023-03-11 2:20:00,6.43,0.38,13.85
16,2023-03-11 2:30:00,7.17,0.46,13.33
17,2023-03-11 2:40:00,8.19,0.51,12.96
18,2023-03-11 2:50:00,7.93,0.49,13.09
19,2023-03-11 3:00:00,8.02,0.48,13.17
20,2023-03-11 3:10:00,7.48,0.43,13.17
21,2023-03-11 3:20:00,7.39,0.46,12.83
22,2023-03-11 3:30:00,8.99,0.66,12.31
23,2023-03-11 3:40:00,10.38,0.84,11.99
24,2023-03-11 3:50:00,11.01,0.87,11.87
25,2023-03-11 4:00:00,11.74,0.95,11.48
26,2023-03-11 4:10:00,11.61,0.94,11.5
27,2023-03-11 4:20:00,11.11,0.93,10.91
28,2023-03-11 4:30:00,12.34,0.96,11.16
29,2023-03-11 4:40:00,12.02,0.97,11.44
30,2023-03-11 4:50:00,11.47,0.92,11.43
31,2023-03-11 5:00:00,11.22,0.91,11.01
32,2023-03-11 5:10:00,11.65,0.97,11.2
33,2023-03-11 5:20:00,12.3,0.97,12.05
34,2023-03-11 5:30:00,12.12,0.96,12.15
35,2023-03-11 5:40:00,12.41,0.96,12.91
36,2023-03-11 5:50:00,11.94,0.97,13.77
37,2023-03-11 6:00:00,11.86,0.95,14.4
38,2023-03-11 6:10:00,11.14,0.9,14.45
39,2023-03-11 6:20:00,10.83,0.87,14.5
40,2023-03-11 6:30:00,9.97,0.76,14.1
41,2023-03-11 6:40:00,9.6,0.73,14.2
42,2023-03-11 6:50:00,10.29,0.78,13.52
43,2023-03-11 7:00:00,10.47,0.81,13.96
44,2023-03-11 7:10:00,11.26,0.89,13.21
45,2023-03-11 7:20:00,11.29,0.87,12.53
46,2023-03-11 7:30:00,11.22,0.95,11.43
47,2023-03-11 7:40:00,11.36,0.97,9.26
48,2023-03-11 7:50:00,11.46,0.97,10.22
49,2023-03-11 8:00:00,11.22,0.95,10.29
50,2023-03-11 8:10:00,10.43,0.91,9.42
51,2023-03-11 8:20:00,8.77,0.78,9.35
52,2023-03-11 8:30:00,7.54,0.6,9.81
53,2023-03-11 8:40:00,7.72,0.56,10.04
54,2023-03-11 8:50:00,8.5,0.63,10.58
55,2023-03-11 9:00:00,10.17,0.86,11.66
56,2023-03-11 9:10:00,12.46,0.98,12.96
57,2023-03-11 9:20:00,12.24,0.97,14
58,2023-03-11 9:30:00,11.08,0.97,14.97
59,2023-03-11 9:40:00,13.03,0.97,15.91
60,2023-03-11 9:50:00,13.36,0.97,16.42
61,2023-03-11 10:00:00,13.71,0.97,16.83
62,2023-03-11 10:10:00,13.65,0.97,17.01
63,2023-03-11 10:20:00,14.15,0.97,17.1
64,2023-03-11 10:30:00,13.45,0.97,17.36
65,2023-03-11 10:40:00,13.4,0.97,17.59
66,2023-03-11 10:50:00,12.62,0.97,18.18
67,2023-03-11 11:00:00,14.04,0.97,18.64
68,2023-03-11 11:10:00,14.25,0.97,18.43
69,2023-03-11 11:20:00,13.79,0.97,18.03
70,2023-03-11 11:30:00,13.8,0.97,17.77
71,2023-03-11 11:40:00,13.47,0.97,17.91
72,2023-03-11 11:50:00,13.93,0.97,18.13
73,2023-03-11 12:00:00,13.84,0.97,18.4
74,2023-03-11 12:10:00,13.79,0.97,18.53
75,2023-03-11 12:20:00,13.96,0.97,18.53
76,2023-03-11 12:30:00,14.97,0.97,18.76
77,2023-03-11 12:40:00,14.47,0.97,19.1
78,2023-03-11 12:50:00,14.2,0.97,19.45
79,2023-03-11 13:00:00,14.48,0.97,19.87
80,2023-03-11 13:10:00,14.44,0.97,20.05
81,2023-03-11 13:20:00,15.16,0.97,20.13
82,2023-03-11 13:30:00,14.56,0.97,20.5
83,2023-03-11 13:40:00,14.84,0.97,20.5
84,2023-03-11 13:50:00,14.71,0.97,20.57
85,2023-03-11 14:00:00,13.96,0.97,20.85
86,2023-03-11 14:10:00,14.13,0.97,20.83
87,2023-03-11 14:20:00,13.95,0.97,20.91
